# commit: 4a95e874c3b92973d5ed4577bb8cebe7d09f8123
# spec_sha256: 7377ef3cb2949720c28e3ecdd800621e5460ca5e300d5f815f68374800f993b4
"item","section","topic","recommendation","status","evidence","substantive_limitation"
1,"Title","Title","Identify the study as an economic evaluation and specify the interventions being compared.","manuscript","Manuscript title.",FALSE
2,"Abstract","Abstract","Provide a structured summary that highlights context, key methods, results, and alternative analyses.","manuscript","Manuscript abstract.",FALSE
3,"Introduction","Background and objectives","Give the context for the study, the study question, and its practical relevance for decision making in policy or practice.","repository","SPEC.md study statement and section 1; readout artifact opening section.",FALSE
4,"Methods","Health economic analysis plan","Indicate whether a health economic analysis plan was developed and where available.","repository","SPEC.md is the analysis plan, version-controlled and hash-stamped into every output. Not separately registered or publicly posted.",FALSE
5,"Methods","Study population","Describe characteristics of the study population (such as age range, demographics, socioeconomic, or clinical characteristics).","repository","SPEC.md section 2: single population -- comparator transition probabilities are estimated from trial data (UNITI-1, UNITI-2) that pool biologic-naive and biologic-experienced patients rather than a uniform stratum; no refractory-adjusted population is run separately (SPEC_AMENDMENTS.md, 2026-08-21 retirement of the refractory co-primary). Starting age 35 recorded in SPEC_AMENDMENTS.md with its SONIC source.",FALSE
6,"Methods","Setting and location","Provide relevant contextual information that may influence findings.","repository","SPEC.md section 2: United States, commercial-payer and healthcare-sector setting; CMS ASP and PFS payment data anchor US unit costs. The US legal and regulatory constraints bearing on A7's payment arrangements are named but not assessed (sourcing register item S-10).",FALSE
7,"Methods","Comparators","Describe the interventions or strategies being compared and why chosen.","repository","SPEC.md section 2; infliximab biosimilar product fixed as OPEN_QUESTIONS.md C10; ustekinumab and adalimumab run as scenario S5.",FALSE
8,"Methods","Perspective","State the perspective(s) adopted by the study and why chosen.","repository","SPEC.md section 2: US healthcare-sector perspective for A1-A5. A6 and A7's budget-impact leg adopt a second, separately labelled perspective -- US commercial payer (L14, SPEC.md section 2a) -- sharing the same unit costs but a different denominator and horizon; the two perspectives are stated to coincide on inputs rather than describing two independently costed models.",FALSE
9,"Methods","Time horizon","State the time horizon for the study and why appropriate.","repository","SPEC.md section 2: lifetime primary, 30- and 40-year secondary; all three produced in output/tables/comparator_ifx_trace.csv. A6/A7's budget-impact leg reports a separate, stated reporting-horizon ladder -- 1/3/5 years (budget-impact base case), 10/30 years (extended offset-accrual projection), and a lifetime reconciliation leg (L10) -- in output/tables/budget_impact.csv and output/tables/payment_arrangements.csv. A7 additionally reports an outcome-observation-point ladder (12 weeks / 2 / 5 years, L19) that is explicitly not the reporting horizon (SPEC.md section 2a).",FALSE
10,"Methods","Discount rate","Report the discount rate(s) and reason chosen.","repository","SPEC.md section 2: 3% annual, costs and QALYs; R/markov_engine.R. A6/A7's budget-impact leg follows a horizon-class-dependent discounting convention rather than one rate -- undiscounted base case with 3% reported alongside at 1/3/5 years, 3% base case with undiscounted reported alongside at 10/30 years and the lifetime leg, both columns produced at every horizon without exception (L11). A7's installment financing rate is a separate, stated (not swept) contract term, base case set equal to the study's own 3% rate; any other rate is a labelled illustration pending O16.",FALSE
