section,assumption_number,assumption,justification
Induction,1,Equal induction efficacy for infliximab and adalimumab,"Targan et al. 1997 is the only evidence of infliximab induction efficacy. The National Institute for Health and Care Excellence (NICE) determined it to be at a high risk of bias. This assumption was recommended by NICE and is tested in sensitivity analyses."
Induction,2,No chance of Surgery or Death during induction,Simplifying assumption. Low risk of bias due to short lengths of induction phases
Induction,3,Any patient that transitions out of the Moderate-Severe (M-S) state during induction remains in the new state until the end of induction.,Simplifying assumption. Low risk of bias due to short lengths of induction phases
Induction,4,All remitters are also responders,"A patient that started with a Crohn's Disease Activity Index (CDAI) between 220-249 could achieve remission without a CDAI drop of 100. This assumption is required due to lack of individual patient data and is at low risk of bias since it is applied to all biologics."
Induction,5,No rescue dosing or dose escalation,Simplifying assumption. There is a lack of reliable evidence for efficacy of rescue dosing/dose escalation.
Induction,6,Patients left in M-S state at the end of induction move to the Conventional Therapy (CT) Markov and remain there until death or the end of the modeled time horizon.,"Simplifying assumption. In clinical practice, patients would receive a rescue dose, dose escalation, or a different biologic. There is a lack of reliable evidence to inform transition probabilities for these scenarios."
Induction,7,50% of Responders start with a low enough CDAI to transition to the Mild state. The other 50% transition to the M-S Responder (M-SR) state.,"If a patient starts with a CDAI >320, they can experience a drop of 100 CDAI points without their CDAI becoming low enough to transition to the Mild state. The M-SR state captures these patients and quantifies the QALY gains they experience. The 50/50 ratio is an arbitrary assumption and is tested in sensitivity analyses."
Induction,8,No vial sharing,"Ustekinumab and infliximab induction is based on patient weight and it is possible that there is left-over medication once a patient has been dosed. Excess medication is assumed to be wasted. The risk of bias is low due to the short length of induction phases."
Maintenance,1,Maximum duration of biologic treatment is 2 years after which all patients move to the CT Markov and remain there until death or end of the modeled time horizon,"Simplifying assumption. In clinical practice, patients would either continue using the biologic (assuming no adverse events) or, if they are in Remission, they would taper off. 2 and 3-year horizon results are also reported."
Maintenance,2,Any patients that lose response (i.e. transition into M-S state) during the first 2 years are switched to CT at the end of the first cycle during which they lost response.,"Simplifying assumption. In clinical practice, patients would receive a rescue dose, dose escalation, or a different biologic. There is a lack of reliable evidence to inform transition probabilities for these scenarios."
Maintenance,3,Disease severity cannot improve or deteriorate by more than one health state during one cycle (e.g. a patient cannot transition from Remission to M-S but must transition through Mild first),Simplifying assumption that allows for calculation of certain transition probabilities. A short cycle length reduces risk of bias.
Maintenance,4,Biologic treatment efficacy in Year 2 is equivalent to Year 1,Simplifying assumption. There is a lack of reliable evidence available to estimate time-varying transition probabilities.
Maintenance,5,All remitters are also responders.,See justification for Induction assumption #4
Maintenance,6,No excess mortality due to CD,"Assumed by Janssen Company Submission model for TA456 and accepted by NICE. A young model cohort and relatively short model horizon further reduce risk of bias due to this assumption."
Maintenance,7,"Only M-S, M-SR, and Surgery states can transition to Surgery.",Simplifying assumption. Malone et al. 2010 report minimal outpatient and no inpatient costs for the mild-moderate stage.
Maintenance,8,All biologics reduce risk of Surgery by the same amount.,Simplifying assumption. There is a lack of reliable evidence regarding the effect of biologic use on surgery/procedure rates.
Maintenance,9,M-S and M-SR states have the same probability of Surgery.,Simplifying assumption. Both states are characterized by a CDAI in the 220-600 range.
Maintenance,10,Biologic dosing is suspended during Surgery.,Simplifying assumption. Tested in threshold sensitivity analysis.
Maintenance,11,Small cycle probabilities of transitioning to M-SR/Mild states for M-S/Mild state patients in the CT Markov,"Included to address a criticism NICE had of the Janssen Company Submission model for TA456. Crohn's Disease is a spontaneously remitting disease and this assumption was added to capture random improvement among CT patients. Both 2-week probabilities are assumed equal to 0.05 in the Base Case and are varied in sensitivity analyses."
Maintenance,12,50% of Responders start with a low enough CDAI to transition to the Mild state. The other 50% transition to the M-SR state.,See justification for Induction assumption #7
Maintenance,13,No vial sharing,See justification for Induction assumption #8
Quality of Life,1,M-SR CDAI of 221 to calculate M-SR state EQ-5D utility value,"The Mild TA352 EQ-5D utility value (obtained directly from the vedolizumab GEMINI trials) was mapped to CDAI using a Buxton 2007 algorithm and corresponded to the bottom of the CDAI range for the Mild state (151). Thus the 221 CDAI was assumed for the M-SR state."
Quality of Life,2,Adverse event (AE) weighting factors are equivalent for induction and maintenance phases.,"Weighting factors are obtained directly from NICE TA456. Low risk of bias since weighting factors for Induction are very similar to Maintenance and Induction is short compared to the modeled time horizon"
Costs,1,Health state costs are constant across all biologics and CT.,Simplifying assumption. Both states are characterized by a CDAI in the 220-600 range.
Costs,2,Out of pocket (OOP) costs applied equally every cycle for all health states except Mild (every other cycle) and Remission (never).,Simplifying assumption. Creates intuitive variation in OOP costs.
Costs,3,"For infliximab, monitoring/management occurs during dosing visits. For ustekinumab, adalimumab, and CT, monitoring/management occurs every other cycle for M-S and M-SR states and every 4th cycle for the Mild state.","Reflects time commitments seen in clinical practice. Patients that subcutaneously inject either ustekinumab or adalimumab in the maintenance phase will still require monitoring/management in the outpatient setting if they are not in Remission. Mild patients visit once every 2 months and M-S/M-SR patients visit every month."
Costs,4,Equivalent health state costs for M-S and M-SR,Simplifying assumption. Both states are characterized by a CDAI in the 220-600 range.
Costs,5,Treatment of AEs covered by monitoring/management and OOP costs,"Simplifying assumption. The short model horizon, low incidence of AEs, and AE QALY weighting factors reduce risk of bias."
Costs,6,3.5 hours of treatment time for Surgery state,"Simplifying assumption. The Surgery state includes all surgeries and procedures (see Lichtenstein et al. 2005). The time requirements for these procedures can vary widely (many are performed in an outpatient setting). This assumption is tested in sensitivity analyses."
